index,user_id,gender,age_group,LSM_group1,share_your_home_with,including_yourself_how_many_people_do_you_share_your_home_with,do_to_try_to_stay_healthy,drives_you_to_have_a_healthy_lifestyle,eat_or_drink,steps_to_eat_drink_more_healthily,how_regularly_do_you_exercise,exercise_do_you_enjoy,do_to_help_you_sleep,before_you_go_to_sleep
913,3430496256.0,Female,45+,Medium,"[""Partner / spouse""]",1,"[""Make sure I get enough sleep""]","[""Have more energy"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]","[""None of the above""]","[""Snacking less often""]",Once a week,"[""Walking""]","[""No, none of these""]","[""Watching TV""]"
914,863532466.0,Male,25-34,Low,"[""Parents""]",5+,"[""Eat healthily"", ""Exercise regularly"", ""Stay hydrated""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""To manage a health / medical condition""]","[""Low salt"", ""Low sugar"", ""Low / zero carb""]","[""Cooking more meals at home"", ""Making an effort to find healthy recipes"", ""Watching the size of my portions"", ""Filling half my plate with vegetables"", ""Snacking less often"", ""Eating out at places that have healthy options available"", ""Shopping at places that have a wide selection of healthy options""]",3+ times a week,"[""Hiking"", ""Running"", ""Walking"", ""Cardio / Aerobics / Water aerobics""]","[""Meditate"", ""Have a bath""]","[""Caffeine"", ""Heavy meal"", ""Watching TV"", ""Browsing on my cell phone / tablet""]"
915,5787513219.0,Male,25-34,High,"[""I live alone""]",1,"[""Stress control methods"", ""Meditation / positive mindset methods"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""To make the most of treats / indulgent moments""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""High protein"", ""Low sugar"", ""Organic""]","[""Doing a cleanse"", ""Filling half my plate with vegetables"", ""Watching the size of my portions"", ""Eating out at places that have healthy options available"", ""Checking nutritional value of the food / drink I purchase"", ""Checking / reading the ingredients in food / drink products""]",Twice a week,"[""Cardio / Aerobics / Water aerobics"", ""Swimming""]","[""Have a bath"", ""Meditate"", ""Have warm milk""]","[""Alcohol"", ""Caffeine"", ""Heavy meal"", ""Browsing on my cell phone / tablet"", ""Checking emails"", ""Watching TV""]"
920,5659968516.0,Female,25-34,Low,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Drink lots of water / fluids"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Stay hydrated""]","[""To set a good example for my family"", ""To improve my sleep"", ""To make the most out of/enjoy life""]","[""Low calorie""]","[""Snacking less often"", ""Eating dessert less often"", ""Cooking more meals at home""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
924,3342953736.0,Female,18-24,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax"", ""Exercise regularly"", ""Drink lots of water / fluids""]","[""To make the most of treats / indulgent moments"", ""To live longer"", ""To improve my sleep""]","[""Low calorie""]","[""Eating out / ordering takeout less frequently"", ""Eating dessert less often""]",Once a week,"[""Cycling""]","[""Have a bath"", ""Have warm milk""]","[""Alcohol""]"
926,7234168702.0,Female,45+,High,"[""Partner / spouse""]",2.0,"[""Eat healthily"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements"", ""Stress control methods""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To live longer""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Eating dessert less often""]",Once a week,"[""Cycling""]","[""Have a bath""]","[""Heavy meal""]"
927,6407159486.0,Male,45+,High,"[""Parents""]",5+,"[""Stress control methods"", ""Exercise regularly"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids""]","[""To manage a health / medical condition"", ""To make the most of treats / indulgent moments"", ""To live longer""]","[""Low salt"", ""Paleo"", ""Keto""]","[""Filling half my plate with vegetables"", ""Snacking less often"", ""Eating dessert less often""]",Less often,,"[""Have a bath"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""Heavy meal"", ""Caffeine"", ""Alcohol""]"
928,1026903150.0,Female,18-24,Low,"[""Parents""]",5+,"[""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life"", ""To support my family""]","[""Low sugar""]","[""Watching the size of my portions"", ""Filling half my plate with vegetables"", ""Snacking less often"", ""Cooking more meals at home""]",Less often,,"[""No, none of these""]","[""Heavy meal"", ""Caffeine""]"
931,1432706440.0,Male,18-24,High,"[""Parents""]",4.0,"[""Eat healthily""]","[""To set a good example for my family"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""Low sugar"", ""High protein"", ""Low salt""]","[""Eating out / ordering takeout less frequently""]",3+ times a week,"[""Circuit training/ HIIT""]","[""Have warm milk""]","[""Alcohol""]"
932,1325154880.0,Male,45+,Medium,"[""I live alone""]",1,"[""Drink lots of water / fluids"", ""Exercise regularly""]","[""Prevent health conditions in later life""]","[""Low sugar""]","[""None of the above""]",Once a week,"[""Other""]","[""No, none of these""]","[""No, none of these""]"
933,5868591579.0,Male,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Take vitamin / other supplements""]","[""To lose / manage my weight"", ""Feeling good about myself"", ""To improve brain function/ memory""]","[""Halal"", ""High protein"", ""Low salt"", ""Low sugar""]","[""Cooking more meals at home""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
939,4242044985.0,Female,35-44,High,"[""Children under 18 years old"", ""Parents""]",5+,"[""Exercise regularly"", ""Meditation / positive mindset methods"", ""Stay hydrated"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Eat healthily""]","[""To manage a health / medical condition"", ""Prevent health conditions in later life"", ""To make the most of treats / indulgent moments""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Halal"", ""High protein""]","[""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes"", ""Cooking more meals at home""]",Once a week,"[""Swimming"", ""Cycling"", ""Walking""]","[""No, none of these""]","[""Alcohol""]"
942,6224707318.0,Male,35-44,High,"[""Other family members""]",4.0,"[""Make sure I get enough sleep"", ""Meditation / positive mindset methods"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""To improve my sleep"", ""Feeling good about myself""]","[""None of the above""]","[""Eating out at places that have healthy options available"", ""Watching the size of my portions"", ""Cooking more meals at home"", ""Eating dessert less often""]",3+ times a week,"[""Running""]","[""No, none of these""]","[""Heavy meal"", ""Alcohol"", ""Caffeine""]"
946,8074416316.0,Female,35-44,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Eat healthily""]","[""To set a good example for my family"", ""Have more energy""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Intermittent fasting"", ""Making an effort to find healthy recipes""]",Twice a week,"[""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have warm milk""]","[""Caffeine"", ""Alcohol"", ""Watching TV"", ""Checking emails""]"
948,5525495060.0,Female,35-44,High,"[""Parents""]",3.0,"[""Nothing""]","[""Prevent health conditions in later life"", ""Feeling good about myself"", ""To support my family""]","[""None of the above""]","[""Snacking less often"", ""Eating dessert less often""]",Never,,"[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
953,3319200478.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",5+,"[""Taking time to relax""]","[""To improve brain function/ memory"", ""To lose / manage my weight"", ""To live longer""]","[""Low sugar""]","[""Watching the size of my portions""]",Once a week,"[""Running""]","[""Have a bath""]","[""Caffeine""]"
960,6596549224.0,Male,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Drink lots of water / fluids"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Taking time to relax""]","[""Feeling good about myself"", ""To manage a health / medical condition"", ""To set a good example for my family""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking nutritional value of the food / drink I purchase"", ""Eating out / ordering takeout less frequently"", ""Checking / reading the ingredients in food / drink products"", ""Trying to have a variety of colors on my plate"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Hiking"", ""Cycling"", ""Swimming"", ""Strength training""]","[""Have a malted milk drink"", ""Have a bath"", ""Take sleeping tablets""]","[""Checking emails"", ""Browsing on my cell phone / tablet"", ""Watching TV""]"
962,7608926416.0,Female,45+,Medium,"[""Partner / spouse"", ""Children over 18 years old""]",3.0,"[""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Stress control methods"", ""Taking time to relax"", ""Stay hydrated"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To make the most of treats / indulgent moments"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Making an effort to find healthy recipes"", ""Eating out / ordering takeout less frequently"", ""Watching the size of my portions"", ""Cooking more meals at home"", ""Snacking less often""]",3+ times a week,"[""Hiking"", ""Circuit training/ HIIT"", ""Yoga/Pilates""]","[""Have a bath"", ""Meditate""]","[""Checking emails"", ""Alcohol"", ""Watching TV"", ""Heavy meal"", ""Caffeine""]"
964,11456344.0,Male,18-24,Low,"[""I live alone""]",4.0,"[""Exercise regularly"", ""Eat healthily""]","[""To improve my sleep"", ""To live longer"", ""To make the most out of/enjoy life""]","[""Low salt"", ""Low sugar""]","[""None of the above""]",3+ times a week,"[""Strength training"", ""Swimming""]","[""Meditate""]","[""Alcohol"", ""Caffeine""]"
965,2310318044480.0,Female,35-44,Medium,"[""I live alone""]",1,"[""Eat healthily""]","[""Lack of money""]","[""None of the above""]","[""Making an effort to find healthy recipes""]",Less often,,"[""No, none of these""]","[""Heavy meal"", ""Alcohol""]"
966,6076890028.0,Male,25-34,Medium,"[""I live alone""]",2.0,"[""Drink lots of water / fluids""]","[""To improve my sleep"", ""Feeling good about myself"", ""To support my family""]","[""Specific diet""]","[""None of the above""]",3+ times a week,"[""Cycling"", ""Walking"", ""Weights""]","[""No, none of these""]","[""Browsing on my cell phone / tablet""]"
969,2692497213.0,Female,25-34,Low,"[""Partner / spouse""]",3.0,"[""Drink lots of water / fluids""]","[""To live longer"", ""To set a good example for my family"", ""To make the most of treats / indulgent moments""]","[""Low salt""]","[""Filling half my plate with vegetables""]",Less often,,"[""Have herbal tea""]","[""Watching TV""]"
971,355837600.0,Female,18-24,High,"[""Parents""]",3.0,"[""Drink lots of water / fluids"", ""Stay hydrated"", ""Taking time to relax"", ""Make sure I get enough sleep"", ""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""Flexitarian: eat meat but control the amount eaten""]","[""Checking / reading the ingredients in food / drink products"", ""Making an effort to find healthy recipes"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Hiking"", ""Circuit training/ HIIT""]","[""Have a bath""]","[""Heavy meal"", ""Watching TV"", ""Alcohol"", ""Caffeine""]"
976,2337043469461.0,Female,35-44,Low,"[""I live alone""]",1,"[""Eat healthily"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life""]","[""Low cholesterol""]","[""Doing a cleanse""]",Never,,"[""Take sleeping tablets""]","[""Watching TV""]"
977,726051750.0,Male,46-55,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",,"[""Eat healthily"", ""Take vitamin / other supplements"", ""Drink lots of water/fluids"", ""Make sure I get enough sleep""]","[""To lose / manage my weight"", ""To support my family"", ""To set a good example for my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Dairy free""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out / ordering takeout less frequently""]",3+ times a week,"[""Walking"", ""Weights""]","[""No, none of these""]","[""No, none of these""]"
979,976885028.0,Female,25-34,High,"[""Children under 18 years old"", ""Parents"", ""Other family members""]",5+,"[""Meditation / positive mindset methods"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Taking time to relax"", ""Stress control methods"", ""Stay hydrated"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life"", ""To support my family"", ""To make the most of treats / indulgent moments""]","[""Halal"", ""Low / zero carb"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""High protein"", ""Low sugar""]","[""Eating dessert less often"", ""Cooking more meals at home"", ""Watching the size of my portions"", ""Trying to have a variety of colors on my plate""]",Once a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Other""]"
981,5377274550.0,Female,35-44,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Taking time to relax"", ""Exercise regularly"", ""Take vitamin / other supplements"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""Feeling good about myself"", ""Have more energy"", ""To make the most out of/enjoy life""]","[""Vegetarian: eat no meat or fish""]","[""Checking / reading the ingredients in food / drink products""]",3+ times a week,"[""Walking"", ""Running""]","[""No, none of these""]","[""No, none of these""]"
982,6059462838.0,Female,25-34,Medium,"[""Children under 18 years old""]",3.0,"[""Taking time to relax"", ""Meditation / positive mindset methods"", ""Drink lots of water / fluids""]","[""Prevent health conditions in later life""]","[""Pescatarian: eat no meat""]","[""Making an effort to find healthy recipes"", ""Filling half my plate with vegetables""]",Few times a month,"[""Yoga/Pilates""]","[""No, none of these""]","[""Heavy meal""]"
983,7707465133.0,Female,35-44,Medium,"[""Other family members""]",4.0,"[""Stress control methods"", ""Taking time to relax"", ""Exercise regularly""]","[""To support my family"", ""Have more energy"", ""To manage a health / medical condition""]","[""None of the above""]","[""Eating out at places that have healthy options available"", ""Trying to have a variety of colors on my plate"", ""Shopping at places that have a wide selection of healthy options""]",Twice a week,"[""Walking"", ""Cycling"", ""Running""]","[""Meditate""]","[""No, none of these""]"
984,4060300366.0,Male,25-34,High,"[""Parents""]",3.0,"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep"", ""Stay hydrated"", ""Taking time to relax"", ""Meditation / positive mindset methods"", ""Eat healthily"", ""Take vitamin / other supplements""]","[""Feeling good about myself"", ""To improve brain function/ memory"", ""To manage a health / medical condition""]","[""Low cholesterol"", ""Gluten / wheat free"", ""High protein"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Checking / reading the ingredients in food / drink products"", ""Eating out / ordering takeout less frequently""]",Twice a week,"[""Hiking"", ""Weights""]","[""Have a bath""]","[""Heavy meal"", ""Alcohol"", ""Caffeine""]"
993,2706212850.0,Male,45+,High,"[""Partner / spouse""]",2.0,"[""Eat healthily"", ""Exercise regularly"", ""Drink lots of water / fluids"", ""Make sure I get enough sleep""]","[""To live longer"", ""To improve brain function/ memory"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low salt"", ""Low sugar"", ""Dairy free""]","[""Checking nutritional value of the food / drink I purchase"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Running""]","[""Remove screens from bedrooms e.g. TV, cell phone""]","[""Alcohol"", ""Caffeine"", ""Heavy meal""]"
997,2751149459.0,Male,18-24,Low,"[""Children over 18 years old""]",4.0,"[""Exercise regularly""]","[""Feeling good about myself""]","[""None of the above""]","[""Snacking less often""]",Once a week,"[""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""Caffeine""]"
1002,3280928650.0,Male,35-44,Low,"[""Children under 18 years old"", ""Partner / spouse""]",5+,"[""Exercise regularly"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Stress control methods"", ""Taking time to relax""]","[""Have more energy""]","[""Low / zero carb"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Filling half my plate with vegetables"", ""Checking nutritional value of the food / drink I purchase"", ""Cooking more meals at home"", ""Watching the size of my portions"", ""Checking / reading the ingredients in food / drink products"", ""Doing a cleanse""]",3+ times a week,"[""Walking"", ""Hiking""]","[""No, none of these""]","[""Other""]"
1009,3318737694.0,Female,45+,Low,"[""Children over 18 years old""]",2.0,"[""Exercise regularly""]","[""To make the most out of/enjoy life""]","[""Dairy free"", ""Low sugar""]","[""Watching the size of my portions"", ""Cooking more meals at home""]",3+ times a week,"[""Strength training""]","[""Meditate""]","[""Caffeine""]"
1010,25544775152.0,Female,35-44,Low,"[""Partner / spouse"", ""Children under 18 years old"", ""Parents"", ""Other family members""]",5+,"[""Eat healthily""]","[""Prevent health conditions in later life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes""]",Twice a week,"[""Running"", ""Strength training""]","[""No, none of these""]","[""No, none of these""]"
1011,3614559876.0,Female,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",3.0,"[""Taking time to relax"", ""Eat healthily"", ""Drink lots of water / fluids"", ""Exercise regularly""]","[""To live longer"", ""Have more energy"", ""To improve brain function/ memory""]","[""Pescatarian: eat no meat"", ""Low salt""]","[""Checking nutritional value of the food / drink I purchase"", ""Filling half my plate with vegetables""]",3+ times a week,"[""Walking""]","[""No, none of these""]","[""Heavy meal"", ""Caffeine"", ""Browsing on my mobile  phone / tablet"", ""Checking emails""]"
1022,4314637505.0,Female,45+,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Exercise regularly"", ""Make sure I get enough sleep"", ""Taking time to relax""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To set a good example for my family""]","[""Low sugar"", ""Low calorie""]","[""Eating out / ordering takeout less frequently"", ""Cooking more meals at home"", ""Snacking less often""]",Once a week,"[""Other""]","[""Have a bath""]","[""Caffeine"", ""Heavy meal""]"
1023,6497408595.0,Female,35-44,Medium,"[""Partner / spouse""]",4.0,"[""Taking time to relax"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Eat healthily""]","[""Have more energy"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often"", ""Filling half my plate with vegetables"", ""Watching the size of my portions""]",Few times a month,"[""Cycling""]","[""Have warm milk""]","[""Browsing on my cell phone / tablet"", ""Alcohol"", ""Watching TV""]"
1026,2674649817.0,Male,25-34,High,"[""Parents"", ""Other family members""]",5+,"[""Drink lots of water / fluids"", ""Take vitamin / other supplements"", ""Taking time to relax"", ""Eat healthily""]","[""To improve brain function/ memory"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low calorie"", ""Pescatarian: eat no meat"", ""Low salt"", ""Low cholesterol"", ""Low sugar"", ""Vegetarian: eat no meat or fish"", ""High protein""]","[""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products"", ""Filling half my plate with vegetables"", ""Eating dessert less often"", ""Doing a cleanse"", ""Cooking more meals at home""]",3+ times a week,"[""Running"", ""Cycling"", ""Walking""]","[""Take herbal supplements"", ""Meditate"", ""Have a bath"", ""Have herbal tea""]","[""Browsing on my cell phone / tablet"", ""Watching TV""]"
1028,674692872.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Exercise regularly"", ""Taking time to relax"", ""Take vitamin / other supplements"", ""Eat healthily""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""Feeling good about myself""]","[""Low salt"", ""Low sugar""]","[""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase"", ""Watching the size of my portions"", ""Counting / tracking calories""]",Once a week,"[""Hiking"", ""Cycling"", ""Walking""]","[""Remove screens from bedrooms e.g. TV, cell phone"", ""Have a malted milk drink""]","[""Caffeine"", ""Alcohol"", ""Checking emails""]"
1030,2735248304.0,Female,45+,Low,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",5+,"[""Eat healthily"", ""Stay hydrated"", ""Exercise regularly""]","[""Prevent health conditions in later life"", ""To improve brain function/ memory"", ""To improve my sleep""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Snacking less often""]",Never,,"[""No, none of these""]","[""No, none of these""]"
1031,4085470704.0,Male,45+,High,"[""Partner / spouse""]",2.0,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Taking time to relax"", ""Stress control methods"", ""Drink lots of water / fluids"", ""Stay hydrated"", ""Take vitamin / other supplements""]","[""To make the most out of/enjoy life"", ""Prevent health conditions in later life"", ""To manage a health / medical condition""]","[""Low sugar"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Flexitarian: eat meat but control the amount eaten"", ""Low salt""]","[""Checking nutritional value of the food / drink I purchase"", ""Shopping at places that have a wide selection of healthy options"", ""Making an effort to find healthy recipes"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products"", ""Filling half my plate with vegetables"", ""Watching the size of my portions"", ""Eating dessert less often""]",Once a week,"[""Hiking"", ""Swimming"", ""Cycling"", ""Walking""]","[""Have herbal tea"", ""Remove screens from bedrooms e.g. TV, cell phone"", ""Take sleeping tablets"", ""Take herbal supplements"", ""Have warm milk""]","[""Caffeine"", ""Heavy meal""]"
1033,1082725050.0,Male,25-34,High,"[""Parents""]",5+,"[""Exercise regularly"", ""Make sure I get enough sleep"", ""Drink lots of water / fluids"", ""Take vitamin / other supplements""]","[""Prevent health conditions in later life"", ""To lose / manage my weight"", ""To manage a health / medical condition""]","[""Gluten / wheat free"", ""Halal"", ""High protein"", ""Low salt"", ""Low sugar""]","[""Making an effort to find healthy recipes"", ""Doing a cleanse"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products""]",Once a week,"[""Walking"", ""Aerobics"", ""Running""]","[""Have herbal tea"", ""Take herbal supplements"", ""Remove screens from bedrooms e.g. TV, cell phone""]","[""No, none of these""]"
1034,5234051628.0,Female,35-44,Low,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Taking time to relax""]","[""To set a good example for my family"", ""To lose / manage my weight"", ""Feeling good about myself""]","[""Halal"", ""Gluten / wheat free""]","[""Cooking more meals at home""]",Few times a month,"[""Other""]","[""Have herbal tea""]","[""Watching TV""]"
1035,2726230104.0,Female,25-34,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",5+,"[""Make sure I get enough sleep"", ""Eat healthily"", ""Take vitamin / other supplements""]","[""To set a good example for my family"", ""Prevent health conditions in later life"", ""To make the most out of/enjoy life""]","[""Vegan: eat no meat, fish, or dairy"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""High protein"", ""Halal""]","[""Trying to have a variety of colors on my plate"", ""Cooking more meals at home"", ""Making an effort to find healthy recipes""]",3+ times a week,"[""Running"", ""Hiking"", ""Yoga/Pilates""]","[""Have herbal tea"", ""Take sleeping tablets"", ""Have a bath""]","[""Checking emails"", ""Browsing on my cell phone / tablet""]"
1044,315339210.0,Male,25-34,Medium,"[""Parents""]",4.0,"[""Meditation / positive mindset methods"", ""Take vitamin / other supplements"", ""Exercise regularly"", ""Make sure I get enough sleep"", ""Taking time to relax"", ""Drink lots of water / fluids"", ""Eat healthily"", ""Stress control methods""]","[""To improve my sleep"", ""To lose / manage my weight"", ""To make the most out of/enjoy life""]","[""Vegetarian: eat no meat or fish"", ""Dairy free"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Gluten / wheat free"", ""Vegan: eat no meat, fish, or dairy"", ""Low cholesterol"", ""High protein"", ""Specific diet - specify"", ""Low salt"", ""Low sugar""]","[""Eating out / ordering takeout less frequently"", ""Counting / tracking calories"", ""Shopping at places that have a wide selection of healthy options"", ""Checking / reading the ingredients in food / drink products"", ""Checking nutritional value of the food / drink I purchase""]",Few times a month,"[""Running"", ""Yoga/Pilates"", ""Weights"", ""Walking"", ""Swimming""]","[""Meditate"", ""Have a malted milk drink"", ""Have a bath""]","[""Watching TV"", ""Browsing on my cell phone / tablet"", ""Checking emails"", ""Heavy meal"", ""Alcohol""]"
1047,3433386231.0,Male,45+,High,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",5+,"[""Take vitamin / other supplements"", ""Drink lots of water / fluids"", ""Taking time to relax""]","[""To support my family"", ""To improve brain function/ memory"", ""To set a good example for my family""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Eating dessert less often""]",Less often,,"[""No, none of these""]","[""Alcohol""]"
1058,2758015964.0,Male,45+,High,"[""Partner / spouse""]",2.0,"[""Take vitamin / other supplements""]","[""To lose / manage my weight"", ""To make the most out of/enjoy life"", ""Prevent health conditions in later life""]","[""Low sugar""]","[""Cooking more meals at home"", ""Filling half my plate with vegetables""]",Less often,,"[""Have herbal tea""]","[""Alcohol""]"
1059,25341840.0,Female,35-44,High,"[""Children over 18 years old""]",2.0,"[""Stay hydrated"", ""Make sure I get enough sleep"", ""Meditation / positive mindset methods""]","[""To make the most of treats / indulgent moments"", ""To manage a health / medical condition"", ""Have more energy""]","[""Halal"", ""Low sugar""]","[""Watching the size of my portions"", ""Eating dessert less often""]",Never,,"[""No, none of these""]","[""Heavy meal""]"
1062,6032744661.0,Male,18-24,Low,"[""Friends / Roommates""]",2.0,"[""Take vitamin / other supplements"", ""Exercise regularly""]","[""Feeling good about myself"", ""To make the most of treats / indulgent moments"", ""To lose / manage my weight""]","[""Low cholesterol"", ""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Low sugar""]","[""Counting / tracking calories"", ""Checking nutritional value of the food / drink I purchase"", ""Intermittent fasting""]",Twice a week,"[""Weights"", ""Cardio / Aerobics / Water aerobics""]","[""No, none of these""]","[""No, none of these""]"
1067,3890755074.0,Female,25-34,High,"[""Parents"", ""Other family members""]",4.0,"[""Stay hydrated"", ""Drink lots of water / fluids"", ""Stress control methods"", ""Make sure I get enough sleep"", ""Eat healthily"", ""Taking time to relax""]","[""To manage a health / medical condition"", ""Feeling good about myself"", ""To lose / manage my weight""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)"", ""Organic"", ""Halal""]","[""Eating dessert less often"", ""Eating out / ordering takeout less frequently"", ""Cooking more meals at home"", ""Intermittent fasting"", ""Snacking less often""]",Less often,,"[""Have a bath"", ""Have herbal tea""]","[""Caffeine"", ""Heavy meal""]"
1071,19011432.0,Female,25-34,Medium,"[""Partner / spouse"", ""Children under 18 years old""]",4.0,"[""Eat healthily""]","[""Feeling good about myself"", ""To make the most of treats / indulgent moments"", ""To make the most out of/enjoy life""]","[""Clean eating: eat minimally processed food (i.e. whole / natural / organic foods)""]","[""Making an effort to find healthy recipes"", ""Cooking more meals at home"", ""Checking / reading the ingredients in food / drink products""]",Less often,,"[""No, none of these""]","[""No, none of these""]"
1074,75760906.0,Female,45+,Medium,"[""Partner / spouse"", ""Children under 18 years old"", ""Children over 18 years old""]",5+,"[""Make sure I get enough sleep"", ""Taking time to relax""]","[""To lose / manage my weight"", ""To improve my sleep"", ""To set a good example for my family""]","[""Specific diet - specify"", ""Other""]","[""Cooking more meals at home"", ""Counting / tracking calories"", ""Watching the size of my portions""]",Once a week,"[""Swimming""]","[""No, none of these""]","[""Caffeine""]"
